"OECD (2015), Computed tomography (CT) exams (indicator). doi: 10.1787/3c994537-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthcare/computed-tomography-ct-exams.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Computed tomography (CT) exams, In hospitals, Per 1 000 inhabitants"

Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,,,,,,,,,,,,,,,,,6.3000,6.6000,7.0000,7.3000,7.8000,8.7000,9.7000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,
Austria,,,,,,,,,,,,,,,94.2000,96.2000,105.5000,117.2000,127.2000,138.8000,145.5000,130.3000,133.4000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Canada,,,,,,,,,,,,,,,,,,,116.9000,120.5000,123.1000,125.0000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..,..
"Czech Republic",,,,,,,,,,,,,,,,,69.6000,72.2000,79.0000,83.4000,82.3000,85.1000,89.4000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,..
Denmark,,,,,,,,,,,,,,43.2000,49.4000,55.7000,63.2000,73.5000,84.1000,95.9000,111.9000,124.3000,130.1000,142.7000,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,35.0000,51.1000,68.8000,90.8000,119.0000,136.7000,147.0000,262.3000,357.3000,381.5000,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,..
Finland,,,,,,,,,,,,,,,,,,,,,21.2000,21.8000,27.9000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,..
France,,,,,,,,,,,,56.5000,61.5000,65.1000,68.5000,67.6000,70.8000,76.4000,82.7000,88.8000,92.4000,98.2000,99.7000,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,,36.0000,38.9000,42.0000,45.2000,49.0000,51.2000,54.4000,58.6000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Greece,,,,,,,,,,,,,,,,,,,,,,,66.7000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..
Hungary,,,,,,,,,,,,,,,,,0.8000,1.4000,1.6000,1.5000,1.5000,1.4000,1.4000,1.5000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,100.6000,100.6000,107.6000,123.4000,124.2000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,..
Ireland,,,,,,,,,,,,,,,,,,,,68.0000,74.0000,74.9000,71.3000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..
Israel,,,,,,,,,,,,,,,,,,54.5000,46.0000,49.1000,50.9000,55.7000,59.8000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..
Korea,,,,,,,,,,,,,,,,18.3000,21.8000,26.0000,29.8000,33.3000,38.9000,41.3000,44.9000,48.7000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,
Luxembourg,,,,,,,,,,,,,135.1000,143.8000,157.0000,161.5000,170.3000,180.9000,187.4000,194.3000,192.6000,199.4000,205.0000,,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,..
Netherlands,,,,,,,,,,,,,,,,,,,59.9000,65.1000,65.8000,70.6000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..,..
"New Zealand",0.3000,0.4000,0.5000,0.9000,2.0000,3.8000,6.1000,6.9000,8.1000,9.4000,11.3000,12.5000,12.9000,13.6000,14.7000,16.2000,17.3000,18.2000,20.3000,21.9000,22.5000,24.5000,26.7000,,,,,,,,,,,,,,,,,,,,,,,,,..
Poland,,,,,,,,,,,,,,,,,,,,,,,11.8000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..
