"OECD (2015), Computed tomography (CT) scanners (indicator). doi: 10.1787/bedece12-en (Accessed on 04 July 2015)"
https://data.oecd.org/healtheqt/computed-tomography-ct-scanners.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Computed tomography (CT) scanners, Total, Per 1 000 000 inhabitants"

Location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,0.7500,1.0100,2.3700,4.0900,5.5800,8.1700,9.4300,10.4500,,,13.7700,,16.7100,,18.4800,20.5500,21.9500,23.3400,24.1800,25.5100,26.2800,29.0500,34.3700,40.5700,45.6500,51.5400,56.7200,,,39.1400,43.0700,44.3200,50.5200,53.6500,,,,,,,,,..,..,,..,,..,,,,,,,,,,,,,,..,..,,,,,
Austria,,,,,,,,,,,,,,,,,24.2500,25.2300,26.0800,26.0200,26.0900,26.6100,27.1000,27.2100,29.2500,29.6600,29.8700,30.0000,29.6300,29.2900,29.8000,29.5000,29.7700,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6300,11.0000,11.5500,12.8500,13.8900,14.6700,15.5600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,..
Canada,,,,,,,,,,,7.1500,7.1300,7.3300,7.5300,7.6900,7.9900,,8.1900,,,,9.7700,,10.2700,10.6800,11.5700,12.0300,12.7200,,13.7600,14.1800,14.5600,14.6200,,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,..,..,..,,..,,,,,,..,,,,,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2000,11.2100,12.3000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,
"Czech Republic",,,,,,,,,,,,2.1300,4.6500,5.7100,6.1900,6.6800,6.8800,7.1800,8.0600,9.1400,9.6500,11.4500,12.0600,12.6500,12.6500,12.3400,13.0900,12.9100,13.3900,14.1700,14.5100,14.7700,15.0300,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,,,,,11.4200,13.2500,13.7700,14.4700,14.4300,14.0200,15.8200,18.4900,21.4800,23.7200,27.5800,29.2600,,27.0500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,7.3800,7.4200,11.1900,14.9600,14.9900,15.7700,16.5700,17.3900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Finland,1.4600,2.2900,2.2800,2.6800,4.7100,5.3000,6.5100,7.1000,7.6800,7.8600,9.8300,10.1700,10.5100,11.2500,11.7900,11.7500,12.4900,12.4500,12.2200,12.7800,13.5200,13.6900,13.2700,14.0000,14.1500,14.6800,14.8100,16.4500,,20.4200,21.0700,21.3400,21.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,..
