"OECD (2015), Health spending (indicator). doi: 10.1787/8643de7e-en (Accessed on 03 July 2015)"
https://data.oecd.org/healthres/health-spending.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Health spending, Total, % of GDP"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,3.6966,,,3.8336,,,3.8845,,,4.1281,,4.9095,4.8966,4.8394,5.5293,6.3696,6.3446,6.5765,6.4186,6.2223,6.1494,6.0846,6.3430,6.3235,6.3403,6.4416,6.6478,6.4726,6.4041,6.4673,6.8241,7.0998,7.2014,7.2405,7.2353,7.2567,7.4398,7.4955,7.6592,7.7856,8.0679,8.1747,8.3866,8.3145,8.5703,8.4510,8.4871,8.5268,8.7207,9.0143,8.9303,9.0791,,,,..,..,,..,..,,..,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
Austria,4.2840,4.5047,4.5653,4.6804,4.6167,4.5612,4.8726,5.1924,5.2752,5.2945,5.1753,5.1620,5.1148,5.2729,5.4104,6.9658,7.1583,7.0686,7.4367,7.3825,7.4606,6.5739,6.4694,6.2909,6.3522,6.4433,6.6764,6.8114,6.8364,7.0206,8.4335,8.4778,8.7375,9.3500,9.6998,9.5818,9.5332,9.8125,9.9716,10.1583,10.0244,10.0937,10.1223,10.3035,10.4283,10.4187,10.2177,10.2617,10.4896,11.1698,11.1296,10.8729,11.0967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Belgium,,,,,,,,,,,3.9039,3.9914,4.1481,4.4320,4.4977,5.6158,5.8261,6.3024,6.4951,6.4769,6.2571,6.6771,6.9084,7.0776,6.9172,6.9675,7.1411,7.2498,7.2488,7.1913,7.2350,7.5508,7.7332,7.8586,7.6534,7.6113,7.9103,7.7655,7.8865,8.0770,8.1206,8.2921,8.4618,9.6474,9.6751,9.6472,9.5809,9.6237,9.9428,10.6547,10.5577,10.6107,10.8944,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,..
Canada,5.4232,5.8033,5.7627,5.8716,5.8513,5.9207,5.9434,6.2283,6.4787,6.5955,6.7610,7.0405,6.8954,6.5650,6.4626,6.8517,6.8519,6.8136,6.8055,6.6785,6.9084,7.1021,7.8839,8.0416,7.9398,7.9583,8.2126,8.1420,8.0947,8.3098,8.7284,9.4027,9.6557,9.5252,9.1843,8.8613,8.6367,8.6041,8.8274,8.7299,8.6686,9.0959,9.3700,9.5403,9.5559,9.5726,9.7174,9.7938,9.9886,11.1226,11.1128,10.9398,10.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1536,5.6554,5.7765,6.2341,6.3950,6.3955,6.5087,6.4757,7.4118,7.0012,6.7720,6.2809,6.4701,7.0246,7.5956,7.1429,7.1682,7.3184,7.3532,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4483,4.6733,4.8290,6.3828,6.5304,6.6940,6.4113,6.4011,6.4180,6.3489,6.3138,6.4222,6.7974,7.1318,6.9035,6.9339,6.6937,6.5223,6.8189,7.8454,7.4319,7.5011,7.5479,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,|,,,,,,,,,,..
Denmark,,,,,,,,,,,,7.9133,7.9889,7.7797,8.4932,8.7257,8.6152,8.4157,8.5280,8.6221,8.9494,9.1534,9.1599,8.8835,8.4606,8.4848,8.1562,8.4641,8.6157,8.4518,8.3440,8.2229,8.2781,8.6460,8.4357,8.1253,8.2115,8.1509,8.1561,8.9536,8.6991,9.1002,9.3329,9.5094,9.6749,9.7700,9.9243,9.9873,10.1830,11.4722,11.0818,10.8655,10.9838,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,..
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8560,5.2878,4.8562,4.8463,4.9216,5.1357,5.0226,5.0169,5.1597,6.0577,6.9342,6.3180,5.8252,5.8872,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,..
Finland,3.8362,3.8314,4.0155,4.1688,4.4100,4.7984,5.0267,5.4685,5.7115,5.6594,5.5329,5.6912,5.8073,5.6810,5.6304,6.1766,6.4642,6.6839,6.5922,6.3762,6.2952,6.4662,6.5923,6.7204,6.7440,7.0969,7.1828,7.3214,7.1205,7.1674,7.7381,8.8287,8.9900,8.2368,7.6818,7.8499,8.0331,7.7148,7.3501,7.3733,7.2190,7.4250,7.8078,8.1512,8.2095,8.4295,8.3448,8.0430,8.3068,9.1715,8.9904,8.9458,9.0876,9.3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,e,e,
