"OECD (2015), Hospital beds (indicator). doi: 10.1787/0191328e-en (Accessed on 30 June 2015)"
https://data.oecd.org/healtheqt/hospital-beds.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Hospital beds, Acute care, Per 1 000 inhabitants"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,6.5200,6.4200,6.3800,6.3800,6.3100,6.2900,6.2400,6.2400,6.1700,6.1000,6.0300,5.9100,5.9100,5.9600,6.1300,6.1400,6.2000,6.4600,6.4700,6.5100,6.4400,6.3600,6.2100,6.0400,5.8800,5.3300,,5.1900,,4.8500,,4.4200,4.2200,4.1700,4.1100,4.1400,3.9600,3.8600,3.7600,3.6700,3.6400,3.5600,3.5300,3.5800,3.6000,3.5000,3.5300,,3.4200,3.3900,3.3900,3.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,..,,..,,,,,,,,,,,,,,,,,..,,,,,..,..
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5800,7.4600,7.2900,7.0800,6.9300,6.8200,6.8200,6.7900,6.7200,6.6700,6.5600,6.4700,6.3100,6.2300,6.1600,6.0400,5.9600,5.8800,5.8300,5.8100,5.7500,5.6800,5.6000,5.5500,5.4600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,..
Belgium,,,,,,,,,,,4.7500,,,,,,,,,,5.4700,,,,,5.8500,5.8600,5.5700,5.0200,4.9700,5.2000,5.1900,5.1600,5.1300,5.1000,5.0300,4.9600,4.9300,4.8500,4.7700,4.7200,4.6500,4.5900,4.5100,4.4700,4.4000,4.3400,4.2800,4.2400,4.1800,4.1100,4.0500,3.9900,3.9500,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,4.9900,4.8700,4.8000,4.6700,4.6200,4.6200,4.5300,4.5200,4.4600,4.4200,4.3700,4.3300,4.2300,4.1200,4.0500,3.9600,3.7800,3.6500,,3.9000,3.8100,3.8000,3.6400,3.2800,3.1900,3.1100,3.0700,2.8900,2.8600,2.4500,1.8400,1.8000,1.7800,1.7500,1.7400,1.7200,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,..,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8900,1.8100,1.7900,1.9600,1.9200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,..
"Czech Republic",,,,,,,,,,,,,,,,,,,,,8.1200,,,,,8.1700,,,,,8.1000,,,,,6.8600,6.5600,6.3100,6.1000,5.8500,5.7400,5.6900,5.6600,5.5700,5.4100,5.3500,5.2600,5.1900,5.1000,5.0100,4.8900,4.7000,4.5600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8500,3.7500,3.5800,3.5000,3.4400,3.5200,3.3900,3.2600,3.1500,3.0900,2.9900,2.9200,2.8600,2.8700,2.5300,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..,..
Estonia,,,,,,,,,,,,,,,,,,,,,9.6300,,,,,9.6800,9.6800,9.5800,9.4200,9.4000,9.1900,9.0900,7.6200,7.5500,6.5700,6.6300,6.1200,5.9500,5.8400,5.8100,5.4400,5.0500,4.4400,4.2900,4.1700,3.7600,3.8800,3.7600,3.8200,3.5800,3.4500,3.5300,3.5500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,,,,,,,,,,,4.8400,,,,,,,,,,,,,,,,,,,,,,,3.1100,3.0600,2.9900,2.9900,2.7500,2.5900,2.4900,3.5200,3.4700,3.4100,3.4100,3.3800,3.3400,3.2700,3.2000,3.1100,3.0400,3.0300,2.9600,2.9200,,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,..
