"OECD (2015), Life expectancy at birth (indicator). doi: 10.1787/27e0fc9d-en (Accessed on 03 July 2015)"
https://data.oecd.org/healthstat/life-expectancy-at-birth.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Life expectancy at birth, Total, Years"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,70.9000,71.2000,71.0000,71.1000,70.7000,71.0000,70.8000,71.2000,70.9000,71.1000,70.8000,71.6000,72.0000,72.1000,71.9000,72.7000,72.8000,73.4000,73.7000,74.3000,74.6000,74.9000,74.7000,75.5000,75.8000,75.6000,76.1000,76.3000,76.3000,76.5000,77.0000,77.4000,77.5000,78.0000,78.0000,77.9000,78.2000,78.5000,78.7000,79.0000,79.3000,79.7000,80.0000,80.3000,80.6000,80.9000,81.1000,81.4000,81.5000,81.6000,81.8000,82.0000,82.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Austria,68.7000,69.7000,69.4000,69.6000,70.0000,69.8000,70.2000,70.0000,70.2000,69.9000,70.0000,70.2000,70.6000,71.1000,71.1000,71.2000,71.7000,72.0000,72.1000,72.4000,72.6000,72.9000,73.1000,73.1000,73.7000,73.9000,74.4000,74.9000,75.3000,75.4000,75.7000,75.7000,75.9000,76.2000,76.5000,76.8000,77.0000,77.4000,77.8000,78.0000,78.2000,78.7000,78.8000,78.7000,79.3000,79.4000,80.0000,80.3000,80.5000,80.4000,80.7000,81.1000,81.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Belgium,69.8000,70.6000,70.3000,70.1000,70.9000,70.7000,70.8000,71.1000,70.8000,70.9000,71.1000,71.2000,71.5000,71.7000,72.1000,72.1000,72.2000,72.9000,72.8000,73.3000,73.3000,73.7000,74.0000,74.0000,74.5000,74.6000,74.8000,75.5000,75.7000,75.7000,76.1000,76.3000,76.5000,76.5000,76.8000,77.0000,77.3000,77.5000,77.6000,77.7000,77.8000,78.1000,78.2000,78.2000,79.0000,79.1000,79.5000,79.9000,79.8000,80.1000,80.3000,80.7000,80.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Brazil,54.7000,55.2000,55.7000,56.1000,56.6000,57.0000,57.4000,57.8000,58.1000,58.5000,58.9000,59.3000,59.7000,60.1000,60.5000,60.9000,61.3000,61.7000,62.1000,62.4000,62.8000,63.1000,63.5000,63.9000,64.2000,64.6000,65.0000,65.4000,65.8000,66.2000,66.6000,67.0000,67.4000,67.8000,68.2000,68.6000,69.0000,69.3000,69.7000,70.0000,70.4000,70.7000,71.0000,71.3000,71.5000,71.8000,72.1000,72.4000,72.6000,72.9000,73.2000,73.4000,73.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Canada,,71.3000,,,,,72.0000,,,,,72.9000,,,,,73.9000,,,75.1000,75.3000,75.5000,75.9000,76.2000,76.5000,76.5000,76.6000,77.0000,77.0000,77.3000,77.6000,77.8000,78.0000,,78.0000,78.0000,78.2000,78.3000,78.5000,78.8000,79.0000,79.3000,79.5000,79.7000,79.9000,80.1000,80.4000,80.5000,80.7000,80.9000,81.2000,81.5000,,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,..,..
Chile,,,,,,,,,,,62.3000,,,,,,,,,,,,,,,,,,,,72.9000,74.0000,74.5000,74.5000,75.0000,74.8000,75.2000,75.7000,75.8000,76.0000,76.8000,76.8000,77.4000,77.4000,77.4000,77.9000,78.4000,77.8000,77.8000,78.8000,79.0000,78.9000,78.9000,,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
"China (People's Republic of)",43.5000,43.8000,44.8000,46.4000,48.6000,51.3000,54.2000,57.0000,59.5000,61.5000,62.9000,63.9000,64.6000,65.0000,65.4000,65.7000,66.0000,66.3000,66.6000,66.8000,67.1000,67.3000,67.6000,67.9000,68.1000,68.4000,68.6000,68.9000,69.1000,69.3000,69.5000,69.7000,69.9000,70.0000,70.2000,70.4000,70.6000,70.9000,71.3000,71.7000,72.2000,72.7000,73.1000,73.5000,73.8000,74.1000,74.3000,74.5000,74.6000,74.8000,74.9000,75.1000,75.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"Czech Republic",70.7000,70.7000,69.9000,70.5000,70.7000,70.4000,70.6000,70.5000,70.1000,69.6000,69.6000,69.8000,70.3000,70.2000,70.2000,70.6000,70.7000,70.8000,70.9000,70.9000,70.5000,70.8000,70.9000,70.8000,71.0000,71.2000,71.1000,71.6000,71.8000,71.9000,71.6000,72.0000,72.5000,72.9000,73.2000,73.3000,74.0000,74.1000,74.7000,74.9000,75.1000,75.3000,75.4000,75.3000,75.8000,76.1000,76.7000,77.0000,77.3000,77.4000,77.7000,78.0000,78.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,72.4000,,,,,,,72.6000,73.0000,73.2000,73.3000,73.3000,73.4000,73.6000,74.0000,74.2000,73.9000,74.9000,74.6000,74.4000,74.3000,74.4000,74.7000,74.6000,74.8000,74.6000,74.8000,74.9000,75.0000,75.0000,74.9000,75.3000,75.3000,75.2000,75.5000,75.3000,75.7000,76.1000,76.5000,76.6000,76.9000,77.0000,77.1000,77.4000,77.8000,78.3000,78.4000,78.4000,78.8000,79.0000,79.3000,79.9000,80.1000,,,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
