"OECD (2015), Doctors (indicator). doi: 10.1787/4355e1ec-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/doctors.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Doctors, Total, Per 1 000 inhabitants"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,1.1300,,,1.2300,1.2200,1.2300,1.2600,1.2400,1.2600,1.3300,1.2600,1.3800,1.3500,1.4200,1.4800,1.6400,1.6500,1.8500,1.7800,1.8500,1.8600,1.9000,1.9500,1.8300,1.9100,2.0100,2.0600,2.1000,2.1400,2.1700,2.3300,2.3700,2.4000,2.4400,2.4800,2.4000,2.4000,2.4000,2.4500,2.4900,2.5600,2.5600,2.6300,2.7100,2.7800,2.8400,3.0100,3.0200,3.1200,,3.3100,3.3100,,..,,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,..
Austria,1.5900,1.5800,1.5700,1.5600,1.5600,1.5600,1.5700,1.5800,1.6000,1.6300,1.6700,1.7000,,1.7600,1.8100,1.8700,1.9500,2.0100,2.0700,2.1400,2.2100,2.2700,2.3300,2.4200,2.5000,2.5700,2.6700,2.7000,2.8000,2.9000,3.0100,3.0900,3.2100,3.3000,3.4100,3.5100,3.5800,3.6600,3.7700,3.7700,3.8500,3.9600,4.0300,4.1100,4.2000,4.3200,4.4500,4.5300,4.6000,4.6800,4.7800,4.8300,4.9000,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Belgium,1.2800,1.3500,1.4000,1.4200,1.4400,1.4600,1.4900,1.5200,1.5500,1.5500,,1.5400,1.6400,1.6900,1.7700,1.8900,1.9100,2.0000,2.1500,2.2400,2.3100,2.4300,2.5200,2.8100,2.7500,2.8400,2.9200,3.0200,3.1000,3.2300,3.2700,3.3300,3.3900,3.4400,3.5100,3.5400,3.6100,3.6800,3.7400,2.8000,2.8300,2.8500,2.8600,2.8600,2.8700,2.8700,2.8900,2.9100,2.9200,2.9200,2.9100,2.9100,2.9300,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000,1.1300,1.1600,1.1900,1.2200,1.2500,1.2800,1.3200,1.3000,1.4000,1.3800,1.4200,1.4400,1.5000,1.6100,1.6900,1.7200,1.7500,1.8000,1.8400,1.8400,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,..,..,..
Canada,,1.1500,1.2300,1.2500,1.2700,1.2800,1.3000,1.3200,1.3300,1.3800,1.4300,1.5000,1.5500,1.6000,1.6300,1.6900,1.7100,1.7500,1.7700,1.7800,1.8000,1.8300,1.8900,1.9200,1.9500,2.0100,2.0400,2.0900,2.1000,2.1200,2.1100,2.1200,2.1300,2.1500,2.1300,2.1100,2.0900,2.0700,2.0900,2.0900,2.1000,2.1000,2.1100,2.1000,2.1300,2.1600,2.1800,2.2100,2.2600,2.3300,2.3700,2.4400,2.5000,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"China (People's Republic of)",,,,,,,,,,,,,,,,,,,0.6400,,0.7200,,,,,0.6800,,,,,,,,,,1.1800,1.1800,1.2000,1.2000,1.2300,1.2500,1.2700,1.1300,1.1800,1.2100,1.2300,1.2700,1.2900,1.3300,1.4100,1.4500,1.4800,1.5500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,..,..,..,..,,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,..
"Czech Republic",,,,,,,,,,,1.7800,1.8700,1.9100,1.9400,1.9800,2.0100,2.0500,2.1000,2.1400,2.1900,2.2600,2.3200,2.3800,2.4500,2.5000,2.5800,2.6100,2.6200,2.7000,2.7200,2.7100,2.6700,2.6800,2.8600,2.9300,3.0000,2.9800,3.1100,3.0300,3.0800,3.3700,3.4500,3.5100,3.5300,3.5200,3.5600,3.5700,3.5700,3.5600,3.5800,3.6000,3.6400,3.6700,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,,,,,1.7700,1.8300,2.0500,2.1200,2.2600,2.3000,2.3400,2.3500,2.4200,2.4600,2.4900,2.4300,2.6000,2.6100,2.6400,2.6800,2.7000,2.8100,2.8700,2.8800,2.9100,2.9300,3.0400,3.0800,3.2200,3.3100,3.3800,3.4000,3.4300,3.4800,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..,..,..
Estonia,2.0800,2.2000,2.2500,2.3500,2.4300,2.5100,2.5800,2.6400,2.6800,2.7100,2.8400,2.8900,2.9600,3.0700,3.1100,3.1800,3.2800,3.3700,3.4700,3.5300,3.6200,3.7000,3.8100,3.9200,3.9900,3.3300,3.3900,3.4700,3.4800,3.4900,3.5000,3.5400,3.2600,3.2100,3.2000,3.1900,3.1500,3.2400,3.1200,3.1900,3.1300,3.0600,3.0900,3.1200,3.1800,3.1500,3.1800,3.2600,3.3400,3.2800,3.2400,3.2900,3.2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
