"OECD (2015), Medical graduates (indicator). doi: 10.1787/ac5bd5d3-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/medical-graduates.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Medical graduates, Total, Per 100 000 inhabitants"

Location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,9.3300,8.5600,8.5900,8.9100,8.9000,8.8400,8.6100,8.1500,8.0000,7.4100,6.2000,7.0400,6.5000,7.3800,7.4100,7.6400,8.1000,7.4700,7.2900,7.4200,7.3600,7.0100,7.2600,7.4200,8.6900,8.9100,9.2100,10.1600,11.2400,10.8900,12.0800,13.4800,13.9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Austria,14.9700,18.1100,19.1300,20.3100,22.2700,19.9700,20.4000,21.1000,20.1000,19.6100,18.4800,16.2600,15.1300,14.3200,14.0100,13.0700,13.8500,13.4700,15.9300,14.6400,18.9500,14.2700,24.0300,19.6900,21.1900,20.5800,19.4000,23.8000,23.6100,22.7800,19.9400,19.6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
Belgium,,,,,,,,,,,,,,,9.8500,10.5800,11.3200,11.6500,10.5500,11.1400,10.1400,11.1300,10.2200,11.5000,8.0100,7.2800,6.4600,6.8900,7.0800,7.8800,8.9700,10.1800,10.6000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..
Canada,7.1000,7.1100,6.9900,7.0700,6.9200,7.1000,6.7400,6.6800,6.6500,6.3100,6.1700,6.0800,6.1600,5.9300,5.8100,5.9300,5.6900,5.2700,5.3200,5.2400,5.1400,4.9600,4.9200,5.2400,5.5000,5.8200,6.0100,6.2200,6.3700,6.9400,7.1800,7.3500,7.5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,4.5900,4.5600,4.0000,4.8600,6.5000,5.4800,6.2400,7.7900,5.9000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,
"Czech Republic",14.1500,12.7100,12.5000,12.2700,12.7800,13.5900,10.8500,8.9400,9.7300,9.6300,9.0000,10.8600,11.3400,11.7200,13.2500,13.4700,11.8700,11.3700,9.3000,8.5000,7.8700,9.0300,8.3000,9.8800,9.9900,10.4700,10.1700,10.7600,11.2000,12.6300,13.9200,13.9100,15.1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,12.4100,13.3700,13.5200,15.2500,14.3800,11.1100,11.3500,11.4500,9.9600,10.4000,9.6700,9.6400,8.9700,7.3400,6.7600,6.3200,7.8100,7.0600,7.8100,8.5900,8.3700,10.2100,11.8300,13.1900,14.3000,15.0900,15.7800,16.0200,14.7100,15.2300,16.3500,16.8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..
Estonia,18.2800,17.9500,17.8900,17.9600,17.0500,16.8800,18.2400,15.7200,16.5800,10.7800,12.6800,10.5700,11.4100,11.4400,12.5800,11.2100,8.7600,9.2900,8.4400,4.4200,4.7200,6.4100,6.5200,7.5100,7.1200,7.8200,9.5000,7.9100,8.3800,8.9900,11.1900,9.4200,10.2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,12.9900,12.4600,11.6800,10.7100,6.2700,8.6300,8.7000,9.6300,9.4600,10.3500,9.2900,9.3700,10.3900,11.6600,13.8900,13.9400,11.3400,10.4100,10.7300,6.7400,7.7900,7.1500,7.0000,8.5900,6.6000,6.4200,7.5000,6.9400,10.2800,9.3700,11.2400,11.5300,14.5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
France,16.1800,15.6500,15.0500,14.2000,15.2300,15.0300,12.4500,12.7900,12.2400,10.7200,9.1800,9.2100,9.2000,8.2700,8.1800,7.8300,7.8800,7.8600,6.4400,6.5600,6.4800,5.9400,5.2400,6.1700,5.7000,5.4600,5.2900,6.0200,6.5500,6.8700,7.2300,8.6700,8.9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,14.2400,13.7300,12.5700,12.8300,11.5000,11.4200,11.3500,11.1500,10.8700,10.7300,10.8400,10.7800,10.7600,10.5900,11.6400,12.0000,12.2900,12.1000,11.7000,11.9200,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,..
