"OECD (2015), Magnetic resonance imaging (MRI) units (indicator). doi: 10.1787/1a72e7d1-en (Accessed on 30 June 2015)"
https://data.oecd.org/healtheqt/magnetic-resonance-imaging-mri-units.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Magnetic resonance imaging (MRI) units, In hospitals, Per 1 000 000 inhabitants"

Location,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,5.6200,5.5800,5.6000,14.9200,13.4000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
Austria,,,,,,,,,,,,,4.0200,4.5200,4.7600,6.1300,6.1200,6.5900,7.1800,7.2600,9.1800,9.3600,9.5500,10.0000,10.2000,10.1600,10.2500,10.2300,10.4400,,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Belgium,,,,,,,,,,,,,,,,,5.9500,7.0000,6.5800,6.8400,7.0000,6.9700,7.1100,7.5300,10.3600,10.6500,10.6200,10.6800,10.6000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..
Canada,,,,,,,,,,,,,,,,,2.2500,3.7100,,3.8900,4.1300,4.7400,5.0700,5.5000,,6.2600,6.3900,6.5800,6.9400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,,,,,,..,,,,,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8000,1.9500,3.7600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,2.5500,2.8400,3.3200,3.8800,4.2400,4.8800,5.2500,5.8100,5.9000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,5.4300,,8.5600,9.0900,10.1800,,,,,15.3900,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,,,..,..,..,..,,..,..,..,..
Estonia,,,,,,,,,,,,,,,,,,,,,,2.2100,1.4800,2.2400,2.2400,2.2500,3.7600,6.7800,6.8000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Finland,0.2000,0.4100,0.6100,0.8100,1.0100,1.2100,1.8000,2.1900,2.3800,2.7600,3.3400,4.3100,5.6600,6.6100,8.3400,9.1000,9.8500,10.9900,12.5000,13.0400,13.9600,14.6800,15.1900,15.3200,15.6200,15.7300,18.6500,20.2300,21.6100,22.1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
