"OECD (2015), Magnetic resonance imaging (MRI) units (indicator). doi: 10.1787/1a72e7d1-en (Accessed on 04 July 2015)"
https://data.oecd.org/healtheqt/magnetic-resonance-imaging-mri-units.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Magnetic resonance imaging (MRI) units, Total, Per 1 000 000 inhabitants"

Location,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,,,,0.1900,0.3100,0.4200,0.4200,0.6400,1.1600,1.4300,1.8100,2.3600,2.8900,2.9600,3.5300,4.5100,6.0100,3.5200,3.7900,3.7400,3.7000,3.7600,4.2600,4.8900,5.1900,5.6500,5.7200,5.6700,5.6800,15.0100,13.4400,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,7.5400,8.5300,8.5200,11.0100,10.9800,11.6900,13.3600,13.5400,15.9100,16.1600,16.8100,17.7100,17.9900,18.4100,18.5900,18.6800,19.1000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,3.1300,3.3500,3.8400,4.7500,5.4100,6.0900,6.8500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,..
Canada,0.0400,0.1200,0.1600,0.1900,0.3100,0.3800,0.4500,0.4800,0.6900,0.7800,0.9900,1.0500,1.2100,1.3600,,1.8400,,,2.4800,4.1900,,4.7100,4.9200,5.7400,6.1700,6.7400,,7.8900,8.2300,8.5000,8.8300,,,,,,,,,,,,,,,,..,,..,..,,,..,,,,,,..,,,,,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1200,4.4200,6.6100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,
"Czech Republic",,,,,,,,,,0.1900,0.3900,0.5800,0.6800,0.9700,1.0700,1.0700,1.3600,1.5600,1.6600,1.8600,2.1600,2.4500,2.8400,3.1300,3.8100,4.3700,5.0100,5.7400,6.3000,6.8600,6.9500,,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,,,5.4300,,8.5600,9.0900,10.1800,,,,,15.3900,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,,,..,..,..,..,,..,..,..,..
Estonia,,,,,,,,,,,,,,,,,,,,,,,,2.2100,3.7100,5.2200,8.2300,7.4900,8.2600,9.7900,9.8300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Finland,,,0.2000,0.4100,0.6100,0.8100,1.0100,1.2100,1.8000,2.1900,2.3800,2.7600,3.3400,4.3100,5.6600,6.6100,8.3400,9.1000,9.8500,10.9900,12.5000,13.0400,13.9600,14.6800,15.1900,15.3200,15.6200,15.7300,18.6500,20.2300,21.6100,22.1100,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,1.1800,1.5100,1.6500,1.8300,2.4000,3.1700,3.8500,4.7800,5.1900,5.4800,6.0600,6.4300,6.9600,7.5100,8.6500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..
Greece,,,,,,,,,,,,,,,,,,,,,,,,13.2500,16.3600,17.9200,19.6700,21.9000,22.8600,,,23.4100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,..,
Hungary,,,,0.0900,0.0900,0.0900,0.0900,0.1000,0.1000,0.2900,0.2900,0.3900,0.7700,0.9700,1.3600,1.3600,1.4600,1.4700,1.7600,1.9600,2.2600,2.5700,2.5700,2.5800,2.5800,2.7800,2.7900,2.7900,3.0000,3.0100,2.8200,,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Iceland,,,,,,,,,3.9200,3.8800,3.8300,3.7900,3.7600,7.4800,7.4400,7.3800,7.3000,7.2100,10.6700,14.0400,17.3900,17.2700,20.5400,20.2200,19.7500,19.2600,18.9000,21.9800,22.0100,21.9400,21.8300,,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,7.9600,8.4100,8.9100,11.6900,12.2800,13.1100,12.4300,13.5900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,
Israel,,,,,,,,,,,,,,0.9000,1.0600,1.3700,1.5100,1.4700,1.4300,1.4000,1.3700,1.6400,1.6200,1.7300,1.7000,1.9500,2.0500,2.0000,1.9700,2.4500,3.0300,3.1000,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,4.1100,5.8200,6.2500,7.7600,9.0700,10.8500,11.9000,14.0900,15.0100,16.9600,18.7700,20.0600,21.5900,22.4700,24.1700,24.5700,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,..
Japan,,,,,,,,,6.1200,,,12.5000,,,18.7500,,,23.1900,,,35.3200,,,40.1400,,,43.1000,,,46.8700,,,..,..,..,..,..,..,..,..,,..,..,,..,..,,..,..,,..,..,,..,..,,..,..,,..,..,,..,..
Korea,,,,,,,,,,,1.3900,1.8100,2.8700,3.8600,4.7000,5.1400,,,5.4000,6.8000,7.8500,8.9800,11.0500,12.1300,13.5800,15.9900,17.4700,18.7900,19.9400,21.3300,23.4600,24.4500,..,..,..,..,..,..,..,..,..,..,,,,,,,..,..,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,2.6200,2.5800,2.5500,2.5200,2.4800,2.4500,2.4100,2.3800,2.3500,2.3200,2.2900,2.2600,4.4800,11.0700,10.9100,10.7500,10.5800,10.4200,12.2800,14.0600,13.8100,13.5000,13.1800,12.8800,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,1.0800,1.1900,1.3200,1.2700,1.3300,1.3800,1.6700,1.6200,1.8500,1.9000,1.9400,2.1700,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..
Netherlands,,,,,0.1400,,0.3400,,0.8700,1.3300,1.7800,2.4900,,3.8800,,,,,,,,,6.2000,6.5600,7.8300,7.6300,10.4000,10.9500,12.2200,12.8800,11.8200,,..,..,..,..,,..,,..,,,,,..,,..,..,..,..,..,..,..,..,,,,,,,,,,..
"New Zealand",,,,,,,,,,,,,,,2.6800,2.6400,2.6200,,,,,3.7200,,,,8.7500,9.6000,9.7300,10.5400,11.1300,11.0500,11.1800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,..,..,..,..,,..,..,..,,,,,,,
