"OECD (2015), Nurses (indicator). doi: 10.1787/283e64de-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/nurses.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Nurses, Total, Per 1 000 inhabitants"

Location,1978,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1978 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,10.3300,9.9100,9.8500,9.8700,9.9100,9.5500,10.9200,11.3700,11.6000,11.7200,11.6300,12.0800,11.5700,11.1000,11.5000,10.8400,10.8300,10.4100,10.3000,10.1700,10.0700,9.9500,9.9400,9.9400,10.2100,9.7600,,10.2000,10.3000,10.1800,,10.1900,10.2200,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,..,,,..
Austria,,,,,,,,,,,,,,,,,,,,6.9600,7.0300,7.1600,7.2100,7.1200,7.2000,7.1300,7.1800,7.2700,7.3800,7.5200,7.6100,7.6700,7.7600,7.8300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..
Brazil,,,,,,,,,,,,0.2400,0.2500,0.2600,0.2700,0.2900,0.3000,0.3400,0.3800,0.4000,0.4300,0.4300,0.4700,0.5100,0.5400,0.5500,0.5500,0.5500,0.9500,0.9400,,1.4900,,,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..,,..,..,..
Canada,,9.6000,9.7500,9.7700,10.2600,10.5800,10.7400,11.0100,11.1300,10.9600,11.1300,11.1100,11.2300,11.2000,11.3000,11.1300,10.8900,10.5700,10.4000,10.1800,10.1000,10.1300,10.0000,9.4500,8.5100,8.5100,8.7300,8.8400,9.0300,9.1400,9.2900,9.3300,9.2500,9.3500,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"China (People's Republic of)",0.4200,0.4700,,,,,0.6000,,,,,0.8400,,,,,0.9100,0.9300,0.9500,0.9600,0.9800,0.9900,1.0000,0.9600,0.9700,1.0000,1.0200,1.0800,1.1700,1.2500,1.3700,1.5100,1.6400,1.8100,,,,..,..,..,..,,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,..
"Czech Republic",,5.9500,6.0900,6.2600,6.4100,6.5700,6.7500,6.9100,7.0300,7.1300,7.2400,7.2600,7.2400,7.2900,7.2600,7.2500,7.4100,7.3800,7.3500,7.3500,7.3800,7.6100,7.8500,7.9900,7.9800,8.1100,8.1100,8.0700,8.0300,7.9700,8.0900,8.1000,8.0300,8.0600,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,8.7200,8.8900,9.0900,9.3800,9.8100,10.5600,11.1900,11.6500,12.3700,12.8700,13.4700,13.5800,13.9900,14.3900,14.4800,14.2900,14.7300,15.4400,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,..,..,..,..
Estonia,,7.4000,7.6300,7.9500,8.0000,8.1100,8.2000,8.2500,8.3900,8.3300,8.1700,8.1300,6.5100,6.4500,6.5200,6.4400,6.4400,6.2600,6.1700,6.1400,6.0400,5.8400,5.8000,6.0100,6.1400,6.2400,6.2900,6.3100,6.4000,6.4100,6.1600,6.1200,6.2400,6.1700,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,,,,,,,,,,,,,,,,,,,,,,10.7100,,,,12.1300,12.5700,13.1500,13.4000,13.1400,13.5600,13.8600,14.0800,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,,,,,,,,,..,..
