"OECD (2015), Nursing graduates (indicator). doi: 10.1787/c54611e3-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/nursing-graduates.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Nursing graduates, Total, Per 100 000 inhabitants"

Location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6300,63.5400,67.5700,71.6400,71.8100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,..
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5400,59.0100,58.6500,47.8900,55.5700,57.2600,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,..
Belgium,,,,,,,,,,,,,,,33.3400,32.9500,37.2800,39.2000,42.9900,45.9700,44.7100,44.2800,43.3000,42.0000,38.2200,39.5800,31.5100,33.5600,32.4600,37.2500,41.5900,37.4700,41.0500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..
Canada,,,,,,,,,,,,,,,,,,,27.1100,,25.1900,,,,,,,47.0400,44.8100,45.1300,49.3200,54.6900,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,..,..,..,..,..,..,,,,,,..,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,15.2100,17.6400,14.6900,15.2100,28.7700,37.6900,35.0700,39.4300,40.7700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,
"Czech Republic",37.2800,39.0900,41.3500,44.6000,40.2300,40.8400,46.1500,40.6900,39.3000,45.0900,45.3300,51.5300,60.5500,65.9400,71.3700,63.1400,48.4100,42.4600,41.7200,41.1300,15.6200,45.0000,43.3600,46.4600,50.5600,47.4300,49.1200,35.3700,15.5200,13.9500,12.2500,17.3600,17.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,29.6100,30.5800,30.0500,31.4800,34.8600,35.6900,36.1900,37.3300,38.2700,35.8300,36.1600,35.0600,34.4800,49.0500,60.2900,65.6400,84.4800,90.3700,100.0700,104.6500,101.0000,99.6300,103.4200,77.2800,81.8900,78.0900,80.3000,78.7900,78.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..,..,..,..
Estonia,26.2700,26.2800,30.7000,30.4900,29.3000,30.5500,26.1700,30.7300,28.8800,28.8900,30.4000,33.2400,39.6600,29.5800,24.2700,21.2300,19.5700,16.2900,20.9900,5.1400,19.7600,23.5600,29.2900,31.8100,28.6200,35.6500,34.9000,44.0800,28.2000,35.3700,31.3900,34.3500,37.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,74.6900,68.5000,70.2700,76.5900,69.3000,85.5900,87.9400,97.1000,87.4800,80.5300,60.2600,86.4200,110.6900,130.8600,133.1500,112.6100,88.2800,90.2600,85.9800,79.1000,68.9500,61.5800,59.3000,51.4300,47.8400,44.7800,46.5800,49.7900,56.1000,57.6200,62.8000,63.6600,66.3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
France,,,,,,,,,,,,19.6100,21.0500,22.3400,24.7200,22.6500,25.4500,26.3100,24.3100,24.5000,22.7400,22.7700,24.7600,27.7800,31.3000,33.3000,33.0800,33.9200,33.6000,34.3000,34.4200,35.4900,40.4200,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,,,30.6800,31.2900,30.8100,31.7600,28.6900,29.4500,28.4200,28.1200,28.4200,28.2700,28.9800,26.8000,27.0900,27.4800,28.2100,27.6200,32.2700,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Hungary,,,,,79.3500,78.0800,80.0300,42.9900,43.1600,39.4000,49.5400,47.3300,54.2100,57.5300,55.9400,52.1300,44.4600,52.6300,51.8300,42.7600,44.5300,46.2900,42.1700,41.8100,43.9200,41.7700,40.0200,36.6400,31.4600,33.6100,28.6300,25.5100,26.1700,,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Iceland,,,,,,,,,,,,,,,,,60.6100,71.1800,72.9800,63.8100,57.6100,66.3200,53.2100,57.3400,81.8300,67.4000,90.8500,71.8900,103.0200,64.6800,77.9800,65.2000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,..,..
Ireland,62.4400,60.5600,58.9500,53.2400,55.5100,53.3600,51.7000,49.4100,43.1800,43.4900,44.8500,34.6600,42.1000,37.1100,37.9300,38.3800,42.2800,39.6000,36.7100,40.0600,38.4200,26.4900,31.2800,30.2800,44.1500,34.2600,35.2900,32.0500,35.0100,31.7500,35.9900,37.5800,33.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Israel,,,,,,,,,,,,,,,,,,,,,15.2600,16.7100,19.4400,15.6700,15.5500,16.3500,15.1700,13.9600,13.1100,11.4900,11.1500,11.3700,14.0300,15.8900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,2.5600,3.4000,4.2700,5.4500,5.4800,10.0200,12.2400,15.3700,15.6000,16.1500,17.9500,17.1500,18.3100,16.4900,19.1800,20.4100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,..
Japan,,,,,,,,,,,,,,30.1000,31.6100,33.0100,34.3900,35.9600,37.2100,37.4900,37.2800,37.0000,36.4100,36.2500,36.2100,35.1000,35.8500,36.2000,37.3600,36.8400,38.0600,38.6800,39.3300,40.9000,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7400,66.5500,71.7600,77.9500,92.4400,94.8700,92.8100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,..
Luxembourg,29.3800,26.2900,21.6100,19.9700,23.7700,18.0000,18.4600,21.8500,24.9000,16.1800,20.4300,19.9000,19.1200,11.3200,,24.4700,15.9300,24.0800,34.8500,22.3000,30.4800,36.9200,30.0300,28.1200,21.1700,19.3500,18.8300,18.3300,16.5800,17.8800,19.9200,25.0800,24.4800,11.2300,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,
