"OECD (2015), Population (indicator). doi: 10.1787/d434f82b-en (Accessed on 03 July 2015)"
https://data.oecd.org/pop/population.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Population, Total, Million persons"

Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"1960 Flags","1961 Flags","1962 Flags","1963 Flags","1964 Flags","1965 Flags","1966 Flags","1967 Flags","1968 Flags","1969 Flags","1970 Flags","1971 Flags","1972 Flags","1973 Flags","1974 Flags","1975 Flags","1976 Flags","1977 Flags","1978 Flags","1979 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags","2014 Flags"
Australia,10.2750,10.5082,10.7005,10.9069,11.1216,11.3409,11.5995,11.7991,12.0086,12.2630,12.5074,13.0673,13.3037,13.5045,13.7226,13.8930,14.0331,14.1922,14.3592,14.5157,14.6954,14.9233,15.1843,15.3935,15.5794,15.7883,16.0184,16.2639,16.5322,16.8144,17.0651,17.2840,17.4790,17.6350,17.8050,18.0050,18.2250,18.4230,18.6080,18.8120,19.0290,19.2750,19.4950,19.7210,19.9330,20.1770,20.4510,20.8280,21.2490,21.6920,22.0320,22.3400,22.7240,23.1310,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Austria,7.0475,7.0863,7.1299,7.1758,7.2238,7.2709,7.3221,7.3770,7.4154,7.4411,7.4671,7.5005,7.5442,7.5861,7.5990,7.5789,7.5655,7.5684,7.5623,7.5494,7.5494,7.5687,7.5741,7.5619,7.5614,7.5650,7.5698,7.5746,7.5853,7.6196,7.6779,7.7549,7.8407,7.9056,7.9361,7.9483,7.9590,7.9680,7.9768,7.9923,8.0116,8.0423,8.0821,8.1182,8.1694,8.2253,8.2679,8.2952,8.3215,8.3415,8.3611,8.3885,8.4263,8.4686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,..
Belgium,9.1535,9.1839,9.2206,9.2898,9.3781,9.4637,9.5278,9.5810,9.6188,9.6460,9.6555,9.6732,9.7111,9.7417,9.7724,9.8007,9.8182,9.8304,9.8395,9.8484,9.8592,9.8590,9.8563,9.8555,9.8554,9.8583,9.8618,9.8702,9.9017,9.9377,9.9674,10.0045,10.0452,10.0845,10.1156,10.1368,10.1566,10.1813,10.2030,10.2264,10.2513,10.2866,10.3328,10.3761,10.4211,10.4786,10.5480,10.6257,10.7100,10.7965,10.9203,11.0477,11.1282,11.1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,..
Brazil,69.7170,71.8180,73.9690,76.1690,78.4140,80.7030,83.0330,85.4020,87.8070,90.2460,92.7160,95.2150,97.7410,100.2910,102.8610,105.4500,108.0540,110.6710,113.2970,115.9290,118.5625,121.3813,124.2508,127.1404,130.0825,132.9993,135.8143,138.5859,141.3130,143.9973,146.5926,149.0943,151.5468,153.9856,156.4310,158.8750,161.3232,163.7798,166.2521,168.7535,171.2799,172.7424,175.0766,177.3603,183.4393,185.6514,187.8518,189.9539,191.9998,193.9951,193.2526,197.8253,199.6889,201.4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,..
Canada,18.2560,18.6350,18.9890,19.3470,19.7200,20.0840,20.4210,20.7950,21.1290,21.4400,21.7460,21.9620,22.2180,22.4920,22.8080,23.1430,23.4500,23.7260,23.9630,24.2020,24.5160,24.8200,25.1170,25.3660,25.6070,25.8420,26.1000,26.4470,26.7920,27.2770,27.6911,28.0374,28.3713,28.6848,29.0007,29.3023,29.6102,29.9060,30.1552,30.4013,30.6857,31.0190,31.3537,31.6397,31.9407,32.2452,32.5761,32.9275,33.3177,33.7269,34.1266,34.4840,34.8805,35.1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,..
Chile,7.6433,7.8439,8.0446,8.2453,8.4460,8.6466,8.8312,9.0158,9.2004,9.3850,9.5696,9.7383,9.9071,10.0758,10.2445,10.4132,10.5654,10.7176,10.8698,11.0220,11.1742,11.3598,11.5454,11.7310,11.9166,12.1022,12.3175,12.5328,12.7481,12.9635,13.1788,13.4220,13.6652,13.9085,14.1517,14.3949,14.5955,14.7961,14.9967,15.1972,15.3978,15.5717,15.7456,15.9195,16.0934,16.2673,16.4327,16.5981,16.7635,16.9289,17.0943,17.2480,17.4029,17.5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"China (People's Republic of)",650.7126,660.7350,671.1549,682.6161,695.9187,711.5829,729.2626,749.1154,770.5073,792.5192,814.4229,835.6502,856.5981,876.8586,895.9727,913.6462,929.4601,943.7886,957.1787,970.4154,984.1217,998.0024,1012.3730,1027.6410,1044.2530,1062.4460,1082.0050,1103.0760,1124.7930,1145.9420,1165.4290,1183.0080,1198.8750,1213.1040,1225.9220,1237.5310,1247.8970,1257.0220,1265.2230,1272.9150,1280.4290,1287.8910,1295.3220,1302.8100,1310.4140,1318.1770,1326.1460,1334.3440,1342.7330,1351.2480,1359.8220,1368.4400,1377.0650,1385.5670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,30.8022,31.4400,32.0970,32.7671,33.4469,34.1300,34.8306,35.5209,36.2071,36.8539,37.4722,38.0680,38.6357,39.1845,39.7308,40.2956,40.8135,41.3288,41.8490,42.3685,42.8886,43.4060,43.9269,44.4511,44.9788,45.5096,46.0446,46.5818,47.1211,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"Czech Republic",9.6598,9.5880,9.6218,9.6687,9.7300,9.7851,9.8262,9.8542,9.8776,9.8967,9.8052,9.8306,9.8684,9.9195,9.9948,10.0624,10.1282,10.1893,10.2457,10.2965,10.3268,10.3032,10.3143,10.3228,10.3305,10.3367,10.3407,10.3488,10.3564,10.3623,10.3627,10.3087,10.3178,10.3306,10.3362,10.3308,10.3154,10.3036,10.2949,10.2828,10.2725,10.2242,10.2008,10.2017,10.2069,10.2341,10.2667,10.3227,10.4297,10.4915,10.5173,10.4967,10.5093,10.5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,..
